artifact_label,artifact_id,pack,final_objective,fairness_score,diversity_retention,mean_outcome_delta,safety_pass,stability_score,mean_outcome_score,backend_error_rate,artifact_in_final_team_rate
generator_best_safe,fe584359912e03fa,ExpansionPack1,0.523570502953422,0.34999999999999987,0.970127435900419,2.220446049250313e-16,True,0.5977250788666912,0.7316666666666667,0.0,0.6666666666666666
generator_best_safe,fe584359912e03fa,StandardPack,0.5465069732067916,0.3475806451612903,1.0089564454527558,0.0050000000000000044,True,0.6897929305500872,0.7283333333333333,0.0,0.6666666666666666
iterative_final_set,22854c8a755cfb41,ExpansionPack1,0.5234616398968135,0.34441913439635524,0.9911230603728026,0.011666666666666825,True,0.5929277359221988,0.7433333333333334,0.0,0.7333333333333333
iterative_final_set,22854c8a755cfb41,StandardPack,0.5487260809497081,0.3451612903225805,1.0,0.010000000000000231,True,0.7081465337807993,0.7333333333333332,0.0,0.6666666666666666
one_shot_selected,42026b5b31dd7d94,ExpansionPack1,0.5361148518704019,0.38586208741648953,0.970127435900419,-0.011666666666666603,True,0.5528605612021216,0.7200000000000001,0.0,0.7333333333333333
one_shot_selected,42026b5b31dd7d94,StandardPack,0.565256647751188,0.44062630917469636,0.9494582839267618,0.013333333333333308,True,0.5549460273050891,0.7366666666666666,0.0,0.6666666666666666
